NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
12.0,79.0,15.0,18.0,13.0,91.0,96.0,247.0,1029.0,2.0,1.0,,,,33.0,
37.0,101.0,16.0,5.0,11.0,95.0,158.0,304.0,1029.0,3.0,1.0,,,,49.0,
7.0,69.0,11.0,14.0,10.0,96.0,80.0,300.0,1030.0,2.0,1.0,,,,28.0,
8.0,59.0,8.0,12.0,10.0,97.0,71.0,323.0,1030.0,2.0,1.0,,,,22.0,
9.0,57.0,7.0,11.0,9.0,100.0,71.0,310.0,1030.0,3.0,1.0,,,,31.0,
6.0,37.0,13.0,22.0,9.0,100.0,46.0,315.0,1030.0,3.0,1.0,,,,21.0,
5.0,27.0,15.0,26.0,9.0,100.0,34.0,270.0,1030.0,3.0,1.0,,,,13.0,
4.0,24.0,15.0,22.0,8.0,100.0,29.0,304.0,1029.0,4.0,1.0,,,,15.0,
4.0,28.0,12.0,18.0,8.0,100.0,35.0,283.0,1029.0,4.0,1.0,,,,15.0,
4.0,23.0,10.0,27.0,7.0,100.0,29.0,274.0,1029.0,4.0,1.0,,,,11.0,
5.0,28.0,10.0,19.0,7.0,100.0,35.0,324.0,1029.0,3.0,1.0,,,,12.0,
4.0,25.0,8.0,43.0,9.0,100.0,30.0,292.0,1029.0,4.0,1.0,,,,24.0,
6.0,20.0,7.0,38.0,9.0,97.0,28.0,305.0,1029.0,4.0,1.0,,,,14.0,
10.0,39.0,9.0,26.0,8.0,96.0,55.0,317.0,1030.0,10.0,1.0,,,,17.0,
17.0,35.0,10.0,32.0,9.0,95.0,61.0,315.0,1030.0,51.0,1.0,,,,25.0,
10.0,28.0,12.0,41.0,11.0,86.0,44.0,315.0,1031.0,96.0,1.0,,,,24.0,
9.0,26.0,11.0,53.0,14.0,75.0,40.0,312.0,1031.0,308.0,1.0,,,,24.0,
7.0,22.0,12.0,72.0,16.0,63.0,32.0,159.0,1030.0,519.0,1.0,,,,18.0,
7.0,24.0,14.0,80.0,16.0,59.0,34.0,166.0,1029.0,489.0,1.0,,,,16.0,
